K0058 IC0159
K0381 IC0674
K0528 IC0776
K0856 IC1256
K0043 IC1683
K0807 IC4566
K0130 MCG-01-10-019
K0008 NGC0001
K0010 NGC0036
K0020 NGC0160
K0021 NGC0165
K0023 NGC0171
K0028 NGC0214
K0031 NGC0234
K0030 NGC0237
K0033 NGC0257
K0034 NGC0309
K0042 NGC0477
K0045 NGC0496
K0054 NGC0570
K0065 NGC0716
K0071 NGC0768
K0073 NGC0776
K0075 NGC0787
K0084 NGC0873
K0089 NGC0941
K0094 NGC0976
K0095 NGC0991
K0102 NGC1070
K0108 NGC1093
K0107 NGC1094
K0137 NGC1659
K0140 NGC1667
K0147 NGC2253
K0149 NGC2347
K0156 NGC2449
K0163 NGC2486
K0164 NGC2487
K0179 NGC2530
K0183 NGC2540
K0209 NGC2604
K0219 NGC2639
K0232 NGC2730
K0260 NGC2805
K0275 NGC2906
K0277 NGC2916
K0312 NGC3057
K0311 NGC3106
K0353 NGC3381
K0388 NGC3614
K0414 NGC3687
K0436 NGC3811
K0489 NGC4047
K0515 NGC4185
K0518 NGC4210
K0548 NGC4470
K0603 NGC4961
K0608 NGC5000
K0611 NGC5016
K0614 NGC5056
K0624 NGC5157
K0630 NGC5205
K0659 NGC5320
K0672 NGC5376
K0676 NGC5378
K0684 NGC5406
K0707 NGC5480
K0715 NGC5520
K0724 NGC5533
K0743 NGC5622
K0748 NGC5633
K0753 NGC5656
K0754 NGC5657
K0756 NGC5665
K0764 NGC5720
K0768 NGC5732
K0771 NGC5735
K0777 NGC5772
K0784 NGC5829
K0789 NGC5888
K0938 NGC5947
K0803 NGC5957
K0813 NGC6004
K0823 NGC6063
K0833 NGC6154
K0836 NGC6155
K0849 NGC6301
K0869 NGC6941
K0887 NGC7321
K0889 NGC7364
K0896 NGC7466
K0898 NGC7489
K0904 NGC7591
K0913 NGC7625
K0915 NGC7653
K0920 NGC7691
K0924 NGC7716
K0931 NGC7782
K0003 NGC7819
K0006 NGC7824
K0002 UGC00005
K0007 UGC00036
K0086 UGC01918
K0109 UGC02311
K0146 UGC03253
K0154 UGC03973
K0176 UGC04195
K0190 UGC04262
K0187 UGC04308
K0196 UGC04375
K0278 UGC05108
K0486 UGC07012
K0665 UGC08781
K0751 UGC09291
K0769 UGC09476
K0790 UGC09777
K0792 UGC09842
K0872 UGC11649
K0891 UGC12224
K0918 UGC12633
K0930 UGC12816
K0060 UGCA021
